ARF,SPF,Agrarian Reform Fund,ARF,SS,Social Services
SP,AGENCY,Senate,CONGRESS,GPS,General Public Services
SET,SUBAGENCY,Senate Electoral Tribunal,CONGRESS,GPS,General Public Services
CA,AGENCY,Commission on Appointments,CONGRESS,GPS,General Public Services
HR,AGENCY,House of Representatives,CONGRESS,GPS,General Public Services
HET,SUBAGENCY,House Electoral Tribunal,CONGRESS,GPS,General Public Services
OP-PROPER,AGENCY,The President's Offices,OP,GPS,General Public Services
OVP,DEPARTMENT,Office of the Vice-President,OVP,GPS,General Public Services
OSEC-DAR,AGENCY,Office of the Secretary,DAR,ES,Economic Services
OSEC-DA,AGENCY,Office of the Secretary,DA,ES,Economic Services
ACPC,AGENCY,Agricultural Credit Policy Council,DA,ES,Economic Services
BFAR,AGENCY,Bureau of Fisheries and Aquatic Resources,DA,ES,Economic Services
CODA,AGENCY,Cotton Development Administration,DA,ES,Economic Services
FPA,AGENCY,Fertilizer and Pesticide Authority,DA,ES,Economic Services
FIDA,AGENCY,Fiber Industry Development Authority,DA,ES,Economic Services
LDC,AGENCY,Livestock Development Council,DA,ES,Economic Services
NAFC,AGENCY,National Agricultural and Fishery Council,DA,ES,Economic Services
NMIC,AGENCY,National Meat Inspection Service,DA,ES,Economic Services
NNC,AGENCY,National Nutrition Council,DA,ES,Economic Services
PCC,AGENCY,Philippine Carabao Center,DA,ES,Economic Services
BUPHIRE,AGENCY,Philippine Center for Postharvest Development and Mechanization,DA,ES,Economic Services
SRA-DA,AGENCY,Sugar Regulatory Administration,DA,ES,Economic Services
OSEC-DBM,AGENCY,Office of the Secretary,DBM,GPS,General Public Services
GPPB-TSO,AGENCY,Government Procurement Policy Board - Technical Support Office,DBM,GPS,General Public Services
OSEC-DECS,AGENCY,Office of the Secretary,DECS,SS,Social Services
NBDB-DECS,AGENCY,National Book Development Board,DECS,SS,Social Services
NCCT-DECS,AGENCY,National Council for Children's Television,DECS,SS,Social Services
NM,AGENCY,National Museum,DECS,SS,Social Services
PHSA,AGENCY,Philippine High School for the Arts,DECS,SS,Social Services
EARIST,AGENCY,Eulogio 'Amang' Rodriguez Institute of Science and Technology,SUCS,SS,Social Services
MAPC,AGENCY,Marikina Polytechnic College,SUCS,SS,Social Services
PNU,AGENCY,Philippine Normal University,SUCS,SS,Social Services
PSCA,AGENCY,Philippine State College of Aeronautics,SUCS,SS,Social Services
PUP,AGENCY,Polytechnic University of the Philippines,SUCS,SS,Social Services
RTC,AGENCY,Rizal Technological University,SUCS,SS,Social Services
TUP,AGENCY,Technological University of the Philippines,SUCS,SS,Social Services
UPS,AGENCY,University of the Philippines System,SUCS,SS,Social Services
DMMMSU,AGENCY,Don Mariano Marcos Memorial State University,SUCS,SS,Social Services
ISPSC,AGENCY,Ilocos Sur Polytechnic State College,SUCS,SS,Social Services
